feature,importance
hour,0.8417520222758302
day_of_week,0.06031779390491593
is_weekend,0.052322165532280876
temp_celsius,0.02259018311008925
month,0.008255913170839662
clouds_all,0.0033187191705461735
weather_description_encoded,0.0032439806794972346
is_rush_hour,0.0028608145149730604
weather_main_encoded,0.0019171131203840315
weather_severity,0.001164170192684359
total_precipitation,0.0010987702920059188
rain_1h,0.001046047851618858
snow_1h,0.00011230618433435894
is_holiday,0.0
